epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.478,1.03951,2.95651,1.07416,0.00526,1,0.16854,0.11993,0.85865,3.03655,0.98971,0.00024,0.00024,0.00024
2,10.8451,1.03448,1.72145,1.02191,0.00474,0.9,0.59494,0.43166,0.94201,3.00562,0.99391,0.00049505,0.00049505,0.00049505
3,15.09,1.03405,1.44727,1.05713,0.00526,1,0.55356,0.36238,1.0186,2.88289,1.00827,0.000744952,0.000744952,0.000744952
4,20.1591,1.0866,1.31082,1.06798,0.38401,0.1,0.19014,0.12657,1.07373,2.98137,1.12716,0.000989706,0.000989706,0.000989706
5,23.6919,1.09772,1.33178,1.0688,0.00491,0.93333,0.01175,0.00788,1.23409,3.25138,1.24459,0.00122931,0.00122931,0.00122931
6,27.1295,1.02856,1.18308,1.06302,0.93757,0.50067,0.64711,0.40793,1.26039,2.30119,1.2938,0.00146377,0.00146377,0.00146377
7,31.0548,1.00652,1.14645,1.06003,0.9436,0.55803,0.6874,0.48705,1.15282,2.14044,1.26919,0.00169308,0.00169308,0.00169308
8,35.9786,1.03763,1.11517,1.06096,0.78177,0.59717,0.70753,0.47724,1.25001,1.89728,1.26437,0.0018614,0.0018614,0.0018614
9,39.3999,1.00453,1.01551,1.05921,0.68063,0.36667,0.53172,0.32286,1.45107,2.08477,1.37216,0.0018416,0.0018416,0.0018416
10,42.8337,1.03628,1.27756,1.07984,0.72947,0.56667,0.60837,0.40974,1.28552,1.60468,1.29189,0.0018218,0.0018218,0.0018218
11,47.0803,1.00627,1.02255,1.06423,0.50689,0.2,0.21402,0.13889,1.62327,2.85593,1.65294,0.001802,0.001802,0.001802
12,51.6895,0.99982,0.94372,1.04039,0.73007,0.6,0.68594,0.47111,1.24507,1.60618,1.29862,0.0017822,0.0017822,0.0017822
13,55.0273,0.9908,0.92907,1.05169,0.87812,0.83333,0.90074,0.58339,1.10704,1.03426,1.22786,0.0017624,0.0017624,0.0017624
14,58.5508,0.98475,0.87201,1.05499,0.89595,0.86127,0.93752,0.66242,1.08092,0.83272,1.21502,0.0017426,0.0017426,0.0017426
15,62.7748,1.042,0.8756,1.05414,0.96116,0.82521,0.91432,0.58664,1.19135,1.05038,1.20295,0.0017228,0.0017228,0.0017228
16,67.4252,0.96369,0.83411,1.05391,0.94608,0.7,0.83267,0.57687,1.14639,0.92467,1.17907,0.001703,0.001703,0.001703
17,70.9577,1.00668,0.87491,1.08028,0.79078,0.7,0.75076,0.53926,1.06364,1.26102,1.1763,0.0016832,0.0016832,0.0016832
18,74.5022,0.95967,0.79806,1.03876,0.79333,0.89577,0.89287,0.64654,0.95168,0.98814,1.17623,0.0016634,0.0016634,0.0016634
19,78.6427,0.95016,0.79824,1.02448,0.93088,0.83333,0.91912,0.62791,1.11915,0.84867,1.28305,0.0016436,0.0016436,0.0016436
20,83.2512,0.94404,0.76714,1.05339,0.79637,0.91275,0.86373,0.62509,1.02135,0.94715,1.16915,0.0016238,0.0016238,0.0016238
21,86.8735,0.89626,0.74056,1.01821,0.94918,0.83333,0.91477,0.6394,1.05371,0.90959,1.14443,0.001604,0.001604,0.001604
22,91.1575,0.95384,0.71055,1.02778,0.94957,0.9,0.95238,0.6809,0.97155,0.78469,1.13359,0.0015842,0.0015842,0.0015842
23,95.973,0.93223,0.74615,1.04348,0.90602,0.96415,0.91487,0.6783,0.9811,0.67666,1.14351,0.0015644,0.0015644,0.0015644
24,99.9153,0.88287,0.66118,0.98701,0.89198,0.93333,0.91559,0.6477,1.06127,0.76361,1.21261,0.0015446,0.0015446,0.0015446
25,103.512,0.91801,0.69869,1.03277,0.9199,0.96667,0.94608,0.68559,1.03291,0.69964,1.17277,0.0015248,0.0015248,0.0015248
26,106.934,0.92707,0.69457,1.03593,0.85511,0.86667,0.92499,0.64145,1.14818,0.80512,1.17893,0.001505,0.001505,0.001505
27,112.054,0.93805,0.67912,1.01604,0.92288,0.79782,0.88389,0.58657,1.19234,0.88383,1.23105,0.0014852,0.0014852,0.0014852
28,115.812,0.87674,0.64577,0.99631,0.76872,0.9,0.87471,0.6604,0.96025,0.82609,1.12329,0.0014654,0.0014654,0.0014654
