epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.218,1.11221,2.70401,1.11955,0.96792,0.81818,0.89551,0.62113,0.99207,3.38627,1.01291,8.335e-05,8.335e-05,8.335e-05
2,202.544,0.92826,1.66162,0.99078,1,0.87665,0.95214,0.75395,0.82177,2.42568,0.94798,0.000179739,0.000179739,0.000179739
3,298.234,0.99418,1.14507,1.0038,0.9137,1,0.9875,0.70074,1.04274,5.89583,1.04107,0.000272168,0.000272168,0.000272168
4,391.591,0.88784,0.84771,0.97011,0.7672,1,0.92837,0.75062,0.87783,4.70377,0.98981,0.000360635,0.000360635,0.000360635
5,484.192,0.86703,0.80412,0.97078,0.90545,1,0.995,0.71622,1.06579,16.4641,1.09186,0.000445142,0.000445142,0.000445142
6,577.457,0.89616,0.82282,0.9597,0.84531,0.99403,0.89888,0.68909,0.87949,9.1101,1.0021,0.000525688,0.000525688,0.000525688
7,672.164,0.90065,0.76441,1.00514,0.85346,1,0.995,0.77693,0.91174,8.7799,1.04795,0.000602274,0.000602274,0.000602274
8,764.911,0.89122,0.71243,1.00006,0.96116,0.90909,0.98115,0.71566,1.03811,1.23152,1.07511,0.000674898,0.000674898,0.000674898
9,858.614,0.94706,0.75731,1.00361,0.90459,0.86404,0.92357,0.69013,0.9198,1.19212,1.01537,0.000743562,0.000743562,0.000743562
10,952.288,0.87259,0.72353,1.00254,0.90426,0.90909,0.97571,0.76752,0.8588,1.34922,1.00542,0.000808265,0.000808265,0.000808265
11,1046.74,0.84181,0.65092,0.99196,0.87866,0.90909,0.96753,0.7555,0.84606,1.04498,1.00331,0.000869007,0.000869007,0.000869007
12,1139.57,0.86586,0.62386,0.99804,0.89013,0.90909,0.86048,0.67561,0.88029,0.86329,1.02372,0.000925788,0.000925788,0.000925788
13,1233.97,0.84869,0.64991,0.99617,0.82498,0.90909,0.89324,0.65248,0.89279,0.85528,1.01961,0.000978609,0.000978609,0.000978609
14,1330.84,0.85275,0.65362,0.97029,0.828,0.87708,0.89623,0.68665,0.95025,1.04875,1.03693,0.00102747,0.00102747,0.00102747
15,1426.16,0.89703,0.74265,1.03062,0.90409,0.90909,0.91138,0.75356,0.8931,0.70718,1.0049,0.00107237,0.00107237,0.00107237
16,1533.63,0.91963,0.62122,1.05359,0.99517,1,0.995,0.81078,0.82721,0.53906,1.00207,0.00111331,0.00111331,0.00111331
